name,loc,tweet,time,rt,rt_name
 James Wooten," Ottawa, Ontario, Canada"," Why would anyone hire this company, who allege they  Promotional Products in Dartmouth, Halifax and surroun ",23-02-2019 02:47,@macleans #Wernick is a f@&amp;king lier and has absolutely no business towing the #liberal line here.,23-02-2019 01:08
,,,,,
 Dave Buchanan," Buffalo, NY", Cya in Halifax....,23-02-2019 02:46,,
,,,,,
 Robert Scanlan, Halifax N.S," Immaculate 3 bed, 2 bath with views of Springfield Lake. #JustListed #Halifax #Lakeview #RLPA #REalEstate ",23-02-2019 02:44,,
,,,,,
 David Connors, ," RT @StephenMcNeil: The Sackville-Bedford-Burnside Connector will extend Highway 107, build a high-speed bypass, and connect highways 101, 1",23-02-2019 02:43,,
,,,,,
 PG, ," RT @BBCNews: Most mortgages go to first-time buyers, Halifax research shows ",23-02-2019 02:43,,
,,,,,
 Al Abbass Basketball, Halifax, RT @hfxhurricanes: Don forget to stop by @Eastlink at Halifax Shopping Centre tomorrow from 10-11am!@XtendBelief &amp; @chad_posthumus will,23-02-2019 02:42,,
,,,,,
 James, #HamOnt," RT @Privateers1882: DM's b/w TFC and CPL:TFC: Lol ya right, we're in MLS. We get like $3million a year just from TV. Have fun playing in",23-02-2019 02:41,,
,,,,,
 Vxe9ronique Robert, qu," RT @PCoquereau: Les commentaires racistes, haineux, violents suite xe0 l oxf9 des Syriens ont perdu la vie xe0 Halifax.  Ceux qui les on",23-02-2019 02:40,,
,,,,,
 Just Seen This, ," Most mortgages go to first-time buyers, Halifax research shows ",23-02-2019 02:39,,
,,,,,
 CTCNewsBot, In the Cloud," Most mortgages go to first-time buyers, Halifax research shows ",23-02-2019 02:38,,
,,,,,
 RTCP24 NEWS, RealTimeCeylonPlus24, RT @680NEWS: Halifax is preparing for an emotional goodbye. Melissa Duggan on the planned public funeral for seven children killed in a hou,23-02-2019 02:37,,
,,,,,
 Sports Canada, , RT @Pacificfccpl: Marcel de Jong is pumped to get going in our club's inaugural match on April 28th against @HfxWanderersFC! Let's make his,23-02-2019 02:37,,
,,,,,
 Annette McKinnon," Toronto,Ontario", RT @kylierpeacock: We're hiring! We need an amazing research assistant to join our team at @Dal_OT at #DalhousieU! A great opportunity if y,23-02-2019 02:37,,
,,,,,
 Cathy Williams," Halifax, NS, Canada"," RT @laura_avery: Halifax @MEOPAR_NCE members, don't miss the @CMOS_SCMO meeting and tour of @COVE_Ocean Feb. 27th. RSVP to @YHZweatherguy h",23-02-2019 02:36,,
,,,,,
 MJB Times, London," Most mortgages go to first-time buyers, Halifax research shows  : February 23, 2019 at 02:26AM via mikejulietbravo",23-02-2019 02:36,,
,,,,,
 Samantha Gordon," London, England"," BBC News - Most mortgages go to first-time buyers, Halifax research shows  Who are the first ",23-02-2019 02:34,,
,,,,,
 Jill MacDonald," Nova Scotia, Canada", RT @AndyFillmoreHFX: Lots of businesses in #Halifax are donating profits to the Barho family this week.Here is a THREAD of the ones I kno,23-02-2019 02:33,,
,,,,,
 Trilly, All Around The World," Most mortgages go to first-time buyers, Halifax research shows - ",23-02-2019 02:33,,
,,,,,
 More UK News, ," Most mortgages go to first-time buyers, Halifax researchxa0shows  ",23-02-2019 02:33,,
,,,,,
 OceanTrackingNetwork, ," RT @laura_avery: Halifax @MEOPAR_NCE members, don't miss the @CMOS_SCMO meeting and tour of @COVE_Ocean Feb. 27th. RSVP to @YHZweatherguy h",23-02-2019 02:32,,
,,,,,
 The Spill Magazine," Toronto, ON"," SPILL NEW MUSIC: WINTERSLEEP SHARE NEW TRACK ""INTO THE SHAPE OF YOUR HEART"" + ANNOUNCE SXSW PERFORMANCES | NEW ALBU ",23-02-2019 02:32,,
,,,,,
 Cyprium News, Cyprus," (Most mortgages go to first-time buyers, Halifax research shows) has been published on Cyprium News - ",23-02-2019 02:32,,
,,,,,
 Alexcae Sandra Moren, , Trudeau announces up to $86.5 million for Halifax expressway ,23-02-2019 02:32,,
,,,,,
 Babar Haroon, , RT @NSTrauma: One of the hardest things for our trauma team and colleagues in EM have to deal with. Terrible cases that challenge us not ju,23-02-2019 02:32,,
,,,,,
 Privateers 1882," Halifax, Nova Scotia, Canada", RT @kouame36126692: Yesterday was a special day : I signed my first pro soccer contract with the Halifax Wanderers! I wanted to thank every,23-02-2019 02:31,,
,,,,,
 BBC UK News Feed, ," Most mortgages go to first-time buyers, Halifax research shows ",23-02-2019 02:31,,
,,,,,
