name,loc,tweet,time,rt,rt_name
 Halifax Health Jobs," Daytona Beach, Florida"," We're hiring! Click to apply: Certified Nursing Assistant - Bariatric/Surgical -  #DaytonaBeach, FL",2019-02-25 22:56:10,,
,,,,,
 Dean Jobb | Author," Nova Scotia, Canada", RT @katieyingram: Interested in some of #Halifax's best literary sites? I did a roundup for @twuc's #Write magazine. Featuring places like,2019-02-25 22:55:20,,
,,,,,
 sweety," Edmonton, Alberta"," RT @BenMkWrites: When life forces you apart, love only grows stronger. Follow us, RT + Reply w/ your city to enter to #win passes to an adv",2019-02-25 22:54:56,,
,,,,,
 Old Dan Winter, Halifax Nova Scotia, The roads are insane right now. #halifax,2019-02-25 22:54:48,,
,,,,,
 TRACYIZSAK," Halifax, Nova Scotia"," @lantern_ent Prove Positive that we are heading to the Acting Arean today in Halifax with many whitness, when I c ",2019-02-25 22:54:29,,
,,,,,
 Shelley," Nova Scotia, Canada", I was just talking to my cousin about his search for real estate in Halifax and he had nothing but good things to s ,2019-02-25 22:54:22,,
,,,,,
 Neil Kondel, ," RT @BenMkWrites: When life forces you apart, love only grows stronger. Follow us, RT + Reply w/ your city to enter to #win passes to an adv",2019-02-25 22:54:11,,
,,,,,
 IndiainToronto," Toronto, Ontario, Canada", RT @dineshbhatia: It was my pleasure to have met with Mayor of Halifax @MikeSavageHFX and be welcomed in his beautiful city ,2019-02-25 22:53:43,,
,,,,,
 Dinesh Bhatia, Toronto, It was my pleasure to have met with Mayor of Halifax @MikeSavageHFX and be welcomed in his beautiful city ,2019-02-25 22:53:18," Honoured to welcome Ambassador Dinesh Bhatia, Consul General of India in Toronto to City Hall this afternoon. ",2019-02-25 19:56:23
,,,,,
 Leslie Cayetano," Winnipeg, MB"," RT @BenMkWrites: When life forces you apart, love only grows stronger. Follow us, RT + Reply w/ your city to enter to #win passes to an adv",2019-02-25 22:52:55,,
,,,,,
 The Green Zone," Regina, SK"," RT @CFL_News: ""We've got a lot of private money committed to this (Halifax expansion). This isn't a group looking for a handout. The provin",2019-02-25 22:52:15,,
,,,,,
 Drapeau Automatic, Eastern Ontario, RT @CASAFS_Jo_Ann: ,2019-02-25 22:52:02,,
,,,,,
 Colin MacEachern, , @fleming_pamc @LorneTeachout @lraitt @TSN_Sports @JustinTrudeau @Puglaas This plus we have actual culture. ,2019-02-25 22:51:38,,
,,,,,
 Drinks Enthusiast," Manchester, England", RT @CircleLoungeHX1: St. Barth Conversion.40ml Rhum St. Barth Cool U0001f94325ml Creme definitely Cacao15ml Maraschino Syrup5ml Benedictine.,2019-02-25 22:51:23,,
,,,,,
 Barry Craft U0001f1e8U0001f1e6," Peterborough, Ontario", RT @SkunkRancher: Baking bread for community: TASS staff and students in support of Barho family who lost  7 children in a Halifax fire sto,2019-02-25 22:50:27,,
,,,,,
 Colin MacEachern, , @fleming_pamc @LorneTeachout @lraitt @TSN_Sports @JustinTrudeau @Puglaas ,2019-02-25 22:50:01,,
,,,,,
 HudsonBelle, Yorkshire and The Humber, RT @JustLookin07: The best ever bubble and squeak at #elder #piecehall #halifax U0001f49aU0001f49bU0001f49a ,2019-02-25 22:49:40,,
,,,,,
 Faye Dawson, Leeds, RT @MtGstudios:  truly believe that theatre has the power to move hearts and minds... and ZARA is going to do just that. ZARA Director @,2019-02-25 22:49:17,,
,,,,,
 Colin MacEachern, , @fleming_pamc @LorneTeachout @lraitt @TSN_Sports @JustinTrudeau @Puglaas And Halifax unemployment rate is lower t ,2019-02-25 22:48:58,,
,,,,,
 35%," London, England", RT @LBGAmbLondon: This year we hosting free Code Clubs for children aged 7-10 years old in 10 London branches of Halifax. I been to a,2019-02-25 22:48:52,,
,,,,,
 halifaxnoise," Halifax, Nova Scotia", MAY 2from @christopher_committed2thecore  We will be hosting the Paddle Film festival in 2019. Tickets on sale ti ,2019-02-25 22:48:51,,
,,,,,
 Guila Ben," Toronto, Ontario", RT @HeatherMallick: Here's the link for the GoFundMe for the Syrian refugee parents who lost all 7 of their children in a hideous Halifax h,2019-02-25 22:46:43,,
,,,,,
 Sarah Ritchie," Halifax, Nova Scotia", RT @RhondaBrown5: A late-in-the-day welcome to our newest @globalhalifax team member @jessethomas21 Please give him a follow! #Halifax,2019-02-25 22:46:37,,
,,,,,
 Tornado Shanks, United States, @GoBoomTV @PlayApex @Halifax for sure!,2019-02-25 22:45:11,,
,,,,,
 Delmore Buddy Daye," Halifax, Nova Scotia", On the Money a film that feature a Viola Desmond as played by Leslie Mccurdy. Come join us now at Halifax Central L ,2019-02-25 22:45:10,,
,,,,,
 Ethel Enstrom, , RT @cbcasithappens: Relatives arriving in Canada today to support refugee parents whose 7 children died in Halifax fire ,2019-02-25 22:43:47,,
,,,,,
 WX Halifax," Halifax, NS, Canada", Mon 18:37: Mostly Cloudy; Temp -0.4 C; Windchill -7; Wind WSW 31 km/h gust 46 km/h; Humidity 80%; Press 98.8 kPa  ,2019-02-25 22:43:46,,
,,,,,
 Roger Stone, Halifax Nova Scotia Canada, splitcrowhali tonight February 25#Halifax #livemusic #novascotialife ,2019-02-25 22:42:52,,
,,,,,
 Adam Huffman," Bedford, NS", RT @NSLegalAid: Do you need information or advice on a social justice (income &amp; housing) matter? We out in the community on Tuesday (Feb,2019-02-25 22:42:49,,
,,,,,
 TROPICAL conch salad U0001f1e7U0001f1f8, Grand Bahama," @DaCute1 Yeah, out in halifax for the time being.",2019-02-25 22:42:19,,
,,,,,
 Tim," Radium Hot Springs, British Columbia", @gwenstefani has been one of my idols since high school. As a drag queen I have performed as her for 16 years. Even ,2019-02-25 22:42:06,,
,,,,,
 Jan," Hx, W Yorkshire, UK", @MoorlandMonitor Hi. I came across this yesterday. I also spoke to a dog walker who said he'd found a discarded sna ,2019-02-25 22:41:41,,
,,,,,
 #TweetMaster," North East, England", RT @swiftpat: PAT Testing from 60p  + No VAT     a FREE Quote#pontefract #ATSocialMedia #smm #lpro,2019-02-25 22:41:38,,
,,,,,
 Freshii ScotiaSquare," Halifax, Nova Scotia"," RT @KidsRunClub_DNS: KRC FUNdamentals: free, fun, inclusive, accommodate differences, offer incremental challenges, celebrate success, teac",2019-02-25 22:41:03,,
,,,,,
 Jean-Claude Charles Schwartz, Switzerland, How a Halifax brewery is working to break down craft beer stereotypes | CBC News ,2019-02-25 22:41:02,,
,,,,,
 TMJ-FLD Nursing Jobs," Daytona Beach, FL"," We're hiring in #DaytonaBeach, FL! Click the link in our bio to apply to this job and more: Registered Nurse - Moth ",2019-02-25 22:40:45,,
,,,,,
 Marie Karbaley, Manchester, RT @RSPCA_official: APPEAL FOR INFO: Three bald puppies were dumped at West Mount Vets in #Halifax at 5.30pm on 07/02/19 by a man in a hood,2019-02-25 22:40:35,,
,,,,,
